Number_of_People,Counters_Open,Avg_Service_Time,Time_of_Day,Queue_Type,Waiting_Time
129,4,12,21,Hospital,396.87
27,5,3,21,Hospital,32.41
67,14,19,8,Office,118.62
147,12,10,20,Bank,125.92
157,1,3,19,Office,484.34
149,1,3,10,Office,453.49
229,10,4,5,Hospital,102.16
108,3,17,23,Bank,632.83
108,10,5,13,Hospital,75.2
43,3,19,0,Office,288.27
202,12,19,6,Office,322.96
138,8,11,23,Bank,202.26
71,9,12,8,Office,117.77
183,14,18,10,Office,258.33
46,11,17,23,Bank,85.77
19,12,14,22,Hospital,34.26
115,1,3,15,Bank,357.19
161,14,3,18,Office,54.17
293,11,15,1,Bank,396.98
235,2,5,14,Hospital,599.65
161,10,18,2,Office,311.02
42,2,14,3,Hospital,320.13
101,4,5,19,Hospital,135.41
293,2,4,21,Bank,601.57
258,7,13,6,Hospital,499.81
200,13,9,11,Bank,153.93
90,9,3,3,Bank,35.56
14,7,7,9,Hospital,38.52
9,12,11,5,Bank,24.16
127,6,13,21,Bank,282.71
122,10,11,13,Hospital,154.32
298,1,11,2,Office,3288.46
163,11,4,16,Bank,80.83
232,10,11,10,Bank,264.36
220,9,10,9,Hospital,257.99
188,5,15,20,Bank,568.99
19,11,3,9,Hospital,26.07
161,5,6,9,Office,213.47
140,6,9,2,Office,215.65
265,9,8,23,Hospital,268.49
161,13,7,14,Office,103.85
51,8,12,16,Hospital,99.77
177,8,13,17,Bank,296.94
134,14,19,18,Office,196.99
99,8,11,18,Bank,145.09
119,1,15,11,Bank,1802.12
247,1,4,23,Hospital,1007.94
296,8,19,4,Office,723.37
286,5,16,23,Office,927.16
287,9,7,15,Bank,234.59
73,2,11,14,Bank,405.87
152,9,13,14,Hospital,248.07
15,12,8,5,Office,19.16
258,14,18,11,Hospital,349.44
42,8,2,1,Hospital,28.3
138,9,19,19,Hospital,308.86
204,4,16,8,Office,836.06
27,1,2,3,Hospital,71.78
222,1,6,4,Office,1356.76
145,5,16,20,Hospital,478.27
108,2,4,7,Bank,227.19
214,14,2,21,Hospital,45.14
115,8,9,9,Hospital,152.32
108,10,13,6,Office,155.29
175,11,13,21,Bank,215.73
137,5,14,13,Bank,401.92
297,5,2,4,Office,129.22
131,2,7,15,Office,477.61
110,7,9,14,Bank,146.05
96,13,5,4,Office,52.71
291,8,6,2,Bank,219.88
55,10,8,22,Hospital,59.36
33,13,5,9,Hospital,32.12
218,1,5,4,Bank,1112.7
271,2,16,22,Bank,2178.71
261,10,6,14,Hospital,188.18
105,4,10,17,Hospital,284.04
114,5,3,7,Bank,75.69
186,13,8,20,Office,140.24
5,2,18,1,Office,63.06
59,1,17,21,Bank,1008.5
153,9,18,7,Office,324.29
141,14,3,22,Hospital,48.17
206,1,12,7,Hospital,2478.08
121,13,3,3,Office,49.47
158,4,2,18,Bank,96.66
295,2,3,22,Hospital,475.37
67,11,10,17,Hospital,83.86
248,4,3,20,Hospital,204.26
29,8,16,22,Office,78.84
94,8,11,0,Bank,145.2
79,11,16,19,Office,141.38
298,12,11,14,Bank,282.85
214,9,18,17,Bank,436.84
21,13,10,21,Office,26.15
132,11,19,11,Hospital,251.76
255,12,5,0,Bank,105.41
183,5,10,6,Office,386.43
186,7,17,18,Hospital,475.83
156,3,5,0,Bank,274.1
29,10,17,23,Bank,60.27
184,4,2,6,Hospital,122.73
202,10,7,1,Bank,157.5
165,9,11,6,Office,212.42
181,10,17,18,Bank,313.58
289,10,5,12,Bank,148.34
67,14,14,23,Hospital,90.86
154,12,17,4,Office,226.17
158,1,7,22,Hospital,1133.58
160,2,12,18,Office,984.26
53,5,4,0,Hospital,56.25
88,3,11,0,Bank,331.37
181,2,2,17,Office,196.12
152,1,12,23,Office,1845.19
122,10,13,0,Bank,179.87
67,3,15,4,Hospital,343.2
193,1,9,8,Office,1749.77
53,12,12,11,Bank,61.14
261,1,5,8,Bank,1305.2
228,12,8,17,Office,163.6
145,1,11,22,Office,1612.99
219,8,5,10,Office,149.92
215,3,3,0,Bank,214.19
36,11,19,18,Hospital,102.3
162,1,15,21,Hospital,2451.86
289,7,17,9,Office,717.64
290,10,12,1,Bank,350.31
148,3,11,6,Bank,554.49
23,8,18,19,Office,65.6
22,4,15,1,Bank,79.28
261,4,5,18,Bank,328.76
82,5,3,5,Bank,64.76
179,6,8,9,Office,267.27
198,7,10,8,Office,300.43
117,14,17,7,Office,164.79
118,14,17,10,Hospital,162.2
226,4,19,8,Hospital,1092.89
170,8,12,19,Office,277.64
136,13,8,19,Bank,105.33
268,6,10,8,Bank,465.77
59,14,5,7,Office,28.61
135,1,14,14,Bank,1899.53
292,1,5,1,Bank,1471.94
270,9,3,23,Hospital,108.18
166,10,10,0,Bank,178.72
91,6,13,8,Bank,212.91
59,10,3,8,Office,39.72
292,8,7,12,Hospital,287.3
182,13,6,7,Hospital,101.69
12,7,6,20,Bank,10.74
251,12,6,4,Office,143.01
259,6,5,2,Hospital,249.02
58,4,10,20,Hospital,161.66
253,7,11,3,Bank,412.38
243,9,17,16,Hospital,483.87
233,14,11,15,Office,199.41
71,11,11,15,Office,86.05
55,10,11,19,Hospital,74.04
101,10,7,2,Office,69.73
96,14,18,5,Office,130.65
268,7,6,0,Bank,236.98
295,1,7,20,Hospital,2092.68
100,10,16,15,Hospital,179.28
92,9,19,14,Bank,200.59
82,13,5,6,Bank,35.3
292,4,9,1,Bank,671.6
124,3,17,9,Bank,722.18
169,4,4,14,Office,191.44
186,4,11,5,Office,530.74
227,13,3,1,Bank,52.06
11,10,5,23,Hospital,23.04
267,11,7,23,Hospital,203.54
165,2,12,16,Hospital,1017.85
155,14,15,0,Bank,165.31
89,12,17,0,Office,140.69
151,14,3,3,Office,49.9
116,1,18,19,Office,2097.66
40,12,10,15,Office,32.17
289,10,18,7,Hospital,540.89
192,12,16,0,Hospital,270.49
86,1,8,18,Office,697.51
6,13,4,10,Bank,9.36
201,14,2,16,Office,42.78
15,8,5,9,Office,24.31
238,14,19,11,Bank,326.81
199,2,9,8,Office,908.96
123,12,7,6,Hospital,79.45
24,10,2,11,Bank,16.98
265,5,9,14,Bank,467.01
297,12,2,7,Office,62.47
260,4,12,16,Hospital,806.43
226,8,16,4,Hospital,464.58
230,2,12,13,Hospital,1405.02
57,10,11,1,Office,85.79
284,9,13,15,Office,402.07
85,7,2,16,Hospital,43.23
206,13,8,2,Office,121.64
162,7,18,22,Hospital,435.74
124,1,11,0,Office,1378.95
63,14,7,17,Bank,24.12
219,12,18,17,Bank,351.97
132,2,19,3,Office,1271.0
228,4,6,14,Office,351.06
213,4,19,18,Hospital,1042.01
119,11,18,18,Bank,192.16
213,14,17,9,Hospital,270.04
18,3,9,4,Office,52.9
13,7,14,18,Hospital,58.61
44,12,17,10,Hospital,84.66
241,8,12,6,Office,381.12
285,2,7,4,Bank,1009.61
205,4,4,19,Hospital,229.02
250,14,2,11,Office,51.26
282,3,19,18,Hospital,1807.9
239,2,6,14,Office,732.75
8,12,14,11,Office,20.07
158,13,11,3,Office,148.37
33,14,6,11,Bank,26.06
113,6,15,17,Bank,293.27
102,13,18,16,Office,145.89
219,4,2,18,Bank,110.09
297,6,3,15,Hospital,176.08
79,2,8,10,Bank,323.85
150,12,11,1,Bank,151.59
132,4,8,15,Hospital,276.36
46,11,17,0,Hospital,80.78
45,6,6,16,Hospital,59.09
38,14,13,17,Office,48.73
21,5,18,12,Hospital,90.94
169,3,17,4,Hospital,986.72
157,8,17,23,Hospital,354.88
80,7,16,5,Office,210.8
91,3,13,0,Bank,407.16
121,6,11,9,Office,219.95
31,4,3,4,Bank,40.64
291,11,8,0,Hospital,221.07
138,5,14,22,Office,403.01
223,11,4,10,Office,90.67
172,5,16,23,Bank,575.4
102,7,2,23,Office,54.22
272,11,4,6,Office,108.72
241,5,11,17,Bank,539.31
177,11,16,20,Office,274.17
194,3,7,19,Office,473.71
126,10,16,20,Hospital,221.8
50,5,8,9,Hospital,92.83
68,7,6,14,Hospital,73.26
134,5,5,3,Hospital,153.97
197,5,19,15,Hospital,777.24
185,9,4,14,Office,100.22
296,3,18,14,Office,1785.59
286,13,19,11,Hospital,442.54
33,6,19,7,Bank,111.79
153,1,3,7,Hospital,485.23
271,10,14,17,Office,412.09
15,5,16,5,Bank,55.49
168,8,6,4,Hospital,151.61
117,5,4,1,Bank,98.38
191,9,6,11,Hospital,146.55
299,11,6,3,Office,178.3
236,6,6,22,Hospital,254.64
231,8,4,12,Bank,142.74
102,10,4,16,Office,53.65
59,8,19,15,Hospital,164.23
115,13,5,8,Hospital,50.72
156,3,2,0,Hospital,127.02
250,7,17,14,Hospital,635.14
73,14,9,11,Office,58.24
293,7,18,4,Office,750.86
254,14,9,22,Hospital,183.02
40,10,8,23,Office,47.12
243,12,9,17,Bank,197.32
152,6,13,19,Office,358.41
231,12,17,1,Bank,334.59
248,7,13,3,Bank,464.58
205,14,11,14,Office,167.9
158,2,8,5,Hospital,653.39
77,9,13,21,Office,129.58
205,10,6,11,Bank,129.18
21,10,17,17,Bank,51.15
133,1,10,19,Office,1348.26
221,1,8,3,Bank,1778.3
65,3,15,0,Office,333.68
108,14,12,14,Office,104.2
46,3,8,17,Hospital,125.66
29,1,11,13,Bank,330.65
43,12,10,2,Office,51.02
295,7,5,14,Bank,222.03
135,4,17,4,Office,592.28
233,10,11,23,Office,274.0
112,13,18,21,Hospital,174.3
176,2,10,2,Office,895.34
106,10,14,21,Hospital,158.57
16,5,2,6,Bank,12.31
279,6,3,5,Hospital,159.85
105,9,14,21,Hospital,178.18
48,4,10,0,Bank,136.02
21,2,8,18,Hospital,99.39
61,5,17,6,Hospital,228.91
16,3,8,3,Office,58.48
84,2,7,11,Hospital,319.22
220,12,19,19,Office,369.64
268,1,12,22,Hospital,3240.86
153,10,13,17,Bank,194.16
85,2,11,8,Bank,485.86
219,6,14,18,Hospital,541.69
202,8,13,21,Office,339.88
204,13,11,3,Hospital,194.27
29,3,19,0,Office,192.43
93,11,5,8,Hospital,48.63
272,9,6,14,Bank,186.16
147,12,6,21,Bank,79.72
63,9,13,7,Office,103.52
30,2,4,14,Hospital,73.29
51,8,9,14,Office,67.24
292,10,3,17,Bank,97.52
270,11,19,6,Office,475.97
20,12,10,21,Hospital,40.47
203,5,14,17,Office,588.17
286,4,8,15,Hospital,608.66
90,10,11,1,Hospital,126.88
254,5,10,3,Bank,519.7
274,4,16,19,Hospital,1111.66
121,8,6,15,Hospital,112.81
11,4,13,2,Hospital,58.04
141,13,2,23,Office,33.1
180,10,13,22,Bank,249.49
219,12,7,1,Office,132.96
86,13,17,2,Office,125.75
227,14,4,4,Bank,78.75
107,6,11,1,Office,209.15
277,2,19,18,Office,2645.05
18,5,14,23,Hospital,69.44
163,6,19,19,Office,525.32
156,5,4,1,Bank,143.02
112,12,4,1,Office,45.21
192,2,13,21,Hospital,1270.23
102,14,8,23,Office,76.18
135,7,9,22,Bank,176.93
297,4,10,19,Hospital,763.01
175,8,15,17,Office,336.76
187,7,6,19,Bank,180.02
43,7,17,20,Bank,106.46
19,9,13,13,Office,37.87
8,1,5,14,Office,46.43
214,10,9,11,Hospital,203.1
165,6,8,10,Office,246.14
20,6,16,10,Hospital,77.13
112,6,7,6,Office,146.65
231,13,6,11,Bank,112.02
174,12,15,15,Bank,233.85
38,6,14,4,Bank,92.9
255,12,11,1,Bank,249.31
251,10,19,21,Hospital,490.79
273,7,5,15,Bank,200.49
145,14,9,22,Hospital,118.52
278,10,12,14,Hospital,359.65
100,6,18,10,Hospital,324.18
231,1,19,5,Office,4396.65
43,3,12,12,Hospital,188.87
33,2,17,18,Office,296.6
249,6,13,9,Hospital,553.56
240,8,14,23,Office,444.6
189,3,17,18,Office,1069.19
276,10,2,4,Bank,59.75
240,8,17,20,Hospital,526.43
243,8,16,6,Office,481.09
270,5,7,10,Bank,378.23
69,8,13,13,Hospital,136.5
181,6,9,22,Bank,281.71
7,5,8,20,Office,37.21
146,9,3,15,Bank,69.48
162,14,13,17,Bank,163.46
150,7,15,20,Hospital,343.62
297,8,17,22,Office,646.59
157,1,12,22,Hospital,1885.41
197,11,10,3,Hospital,189.33
77,2,11,0,Bank,434.2
144,8,18,21,Office,343.31
191,12,13,14,Hospital,228.94
297,9,7,13,Office,239.75
65,4,12,18,Hospital,221.56
202,12,10,4,Bank,188.71
299,10,7,3,Hospital,235.87
15,11,17,12,Hospital,50.11
66,10,17,17,Hospital,128.29
230,14,7,11,Office,137.53
157,9,6,22,Bank,115.69
203,4,5,20,Office,272.33
56,10,3,14,Hospital,39.36
264,10,7,22,Bank,193.95
63,10,10,8,Office,71.98
76,9,18,3,Hospital,171.43
152,11,15,4,Bank,224.18
67,7,8,8,Bank,83.48
247,2,2,12,Hospital,273.25
111,9,16,9,Bank,212.49
230,4,19,15,Bank,1100.41
222,8,4,12,Office,135.72
245,14,19,3,Bank,340.01
263,7,3,20,Office,138.28
266,13,11,12,Office,243.12
9,7,12,20,Office,30.32
265,8,4,7,Office,141.29
58,1,8,12,Bank,473.38
51,5,9,14,Bank,100.37
219,2,19,19,Office,2086.69
181,2,14,19,Bank,1275.48
13,1,14,12,Office,191.37
103,5,13,22,Office,286.9
24,2,18,4,Office,240.14
245,4,13,21,Hospital,807.66
65,3,14,21,Bank,325.32
182,3,13,5,Bank,797.77
66,2,15,4,Office,503.17
149,13,8,12,Bank,107.0
220,6,14,4,Office,525.21
7,2,7,12,Bank,33.93
164,14,5,23,Office,70.74
231,14,10,19,Office,174.28
273,8,17,22,Hospital,605.19
124,8,5,7,Office,90.5
93,13,7,8,Hospital,60.02
72,14,9,20,Bank,60.14
102,12,17,18,Bank,146.06
271,5,6,19,Hospital,337.13
109,10,11,14,Bank,138.25
127,7,14,21,Hospital,265.63
33,4,15,9,Bank,117.53
141,1,8,10,Hospital,1152.36
199,11,7,4,Hospital,144.51
230,2,8,8,Office,933.48
174,10,6,10,Bank,112.2
13,10,19,18,Office,41.32
44,4,13,1,Hospital,157.73
29,1,7,5,Office,228.33
265,13,2,22,Hospital,50.44
230,8,5,20,Bank,156.86
128,9,13,0,Bank,199.38
42,4,16,2,Bank,172.68
255,10,4,2,Hospital,114.83
180,3,9,13,Office,562.12
94,2,12,19,Bank,567.06
41,5,17,21,Hospital,155.15
180,14,10,4,Office,149.78
288,3,4,16,Hospital,404.24
85,10,6,14,Hospital,58.42
118,7,15,5,Bank,275.09
44,11,16,13,Hospital,80.29
228,6,7,13,Hospital,283.18
119,1,5,16,Office,611.79
190,12,9,7,Bank,156.88
60,8,6,7,Hospital,78.73
44,2,14,18,Hospital,316.38
44,5,17,8,Office,170.38
241,9,2,10,Hospital,78.76
293,8,14,12,Hospital,531.79
266,2,12,12,Hospital,1621.51
220,9,9,23,Hospital,246.54
151,5,9,18,Hospital,282.13
172,10,15,20,Office,285.25
96,14,14,18,Hospital,105.09
63,6,4,4,Hospital,54.05
63,13,5,15,Hospital,42.4
173,3,16,8,Hospital,956.14
273,13,16,19,Bank,343.84
49,3,14,21,Bank,238.44
185,10,10,2,Bank,205.02
174,8,11,18,Bank,247.15
195,11,13,4,Office,237.21
159,10,15,7,Bank,245.58
192,10,2,13,Office,63.0
11,12,15,23,Bank,24.25
137,2,15,2,Office,1056.01
239,11,9,23,Bank,210.71
49,12,17,12,Hospital,84.9
253,12,15,10,Bank,326.61
35,2,2,7,Bank,39.03
27,13,17,18,Bank,40.63
164,5,19,9,Hospital,674.55
162,6,8,17,Office,238.13
43,12,16,17,Office,78.36
86,2,18,6,Hospital,789.64
262,5,14,15,Bank,754.59
210,7,10,5,Bank,317.7
81,10,16,15,Bank,152.77
16,10,4,15,Office,34.23
299,8,2,22,Office,79.4
228,12,17,23,Hospital,335.23
17,7,9,0,Hospital,34.83
50,8,14,23,Office,95.89
159,14,9,18,Bank,114.48
117,12,18,2,Bank,181.53
237,9,15,5,Bank,419.51
21,5,8,3,Bank,56.93
227,13,16,3,Hospital,299.34
192,5,17,3,Hospital,686.49
167,11,7,9,Office,131.69
78,10,2,8,Hospital,32.45
237,4,13,7,Bank,766.19
228,13,19,18,Office,346.7
64,9,17,16,Hospital,136.38
226,5,13,16,Hospital,609.05
41,14,14,0,Hospital,61.62
282,2,9,19,Hospital,1289.44
200,10,2,13,Hospital,63.67
246,8,8,21,Bank,247.51
223,7,16,19,Bank,522.59
196,8,14,10,Bank,349.92
21,12,14,2,Hospital,45.9
16,3,10,23,Office,75.04
197,4,16,7,Bank,789.43
26,5,5,21,Bank,34.03
124,6,14,9,Hospital,308.5
214,1,13,16,Office,2793.4
274,4,6,7,Bank,427.3
196,11,8,21,Bank,147.5
179,12,9,0,Office,145.36
289,10,6,19,Hospital,188.43
208,13,10,20,Office,182.64
168,5,15,6,Hospital,520.55
255,7,13,23,Bank,486.79
231,13,5,8,Office,117.68
11,5,9,11,Office,34.28
33,13,18,21,Bank,63.48
37,13,9,8,Bank,47.31
138,1,2,19,Hospital,303.19
83,11,3,23,Bank,32.52
62,7,5,2,Bank,58.78
30,8,2,3,Office,13.49
230,13,8,9,Hospital,156.08
289,7,2,3,Bank,88.34
8,11,10,21,Office,37.96
103,14,4,8,Bank,33.74
43,13,13,21,Bank,47.21
275,4,16,0,Bank,1102.69
289,8,17,4,Bank,628.04
161,5,11,8,Hospital,375.2
79,10,7,4,Office,77.91
292,9,18,5,Office,603.7
134,12,18,18,Bank,201.34
179,12,19,7,Office,292.77
88,10,12,9,Bank,125.16
26,5,8,10,Office,55.18
31,1,11,12,Hospital,369.31
199,12,8,19,Hospital,151.62
240,9,6,3,Office,168.23
96,12,13,10,Bank,111.88
25,5,17,11,Bank,88.22
88,6,19,4,Bank,284.71
266,4,4,9,Bank,277.41
151,6,16,23,Hospital,426.25
261,12,6,6,Bank,129.37
62,8,14,20,Bank,118.38
19,3,13,8,Bank,88.23
166,5,6,8,Bank,204.66
167,2,7,9,Hospital,605.43
285,14,8,9,Office,174.0
284,2,11,1,Office,1586.67
16,13,17,3,Bank,39.24
278,7,9,7,Bank,375.7
275,10,10,13,Office,286.54
212,13,5,16,Hospital,94.8
31,10,9,12,Hospital,48.47
76,14,8,20,Hospital,62.38
64,11,16,23,Hospital,108.83
149,10,4,17,Hospital,71.37
97,6,18,17,Hospital,310.71
12,4,12,12,Hospital,53.17
83,5,10,7,Hospital,190.82
31,1,6,11,Hospital,210.66
178,7,11,22,Bank,297.42
54,8,16,23,Hospital,119.18
203,9,15,20,Bank,351.14
185,8,5,0,Office,125.53
28,5,3,19,Bank,18.26
50,3,13,17,Office,228.67
19,10,2,2,Bank,21.28
157,11,6,11,Office,98.03
226,9,7,18,Bank,196.74
210,6,12,12,Bank,433.84
277,5,9,9,Office,510.84
240,13,8,14,Hospital,175.81
232,3,5,19,Hospital,409.78
13,6,7,1,Hospital,28.64
170,3,17,18,Hospital,996.34
218,10,16,2,Hospital,370.62
121,12,15,13,Bank,161.38
76,6,13,6,Hospital,178.68
68,4,13,7,Bank,239.26
209,2,17,10,Office,1795.12
213,8,16,21,Hospital,450.4
76,4,14,19,Hospital,282.45
281,9,12,5,Hospital,400.51
278,7,18,10,Hospital,741.24
99,12,16,16,Bank,137.32
170,2,15,9,Bank,1275.08
36,4,11,23,Bank,113.07
15,5,13,16,Office,42.99
221,3,17,20,Bank,1263.4
293,9,16,1,Hospital,537.76
106,13,11,5,Office,113.22
271,5,5,4,Office,283.25
218,2,10,3,Hospital,1117.75
183,11,10,1,Hospital,182.76
92,3,12,11,Hospital,395.0
45,14,12,2,Hospital,72.99
80,9,8,5,Bank,73.63
50,7,11,23,Office,95.62
164,2,5,13,Hospital,449.24
84,9,6,7,Bank,66.47
90,14,6,20,Hospital,59.0
96,4,12,20,Bank,303.52
152,13,10,13,Hospital,137.21
165,9,17,2,Hospital,319.72
206,13,10,15,Hospital,186.39
246,2,5,14,Bank,610.98
6,12,3,6,Hospital,18.58
229,10,15,14,Bank,361.95
293,12,4,12,Bank,105.17
237,4,19,5,Office,1135.89
81,5,7,14,Bank,129.55
120,2,12,16,Bank,724.04
158,10,19,3,Bank,301.64
107,1,13,21,Bank,1402.92
198,7,6,21,Bank,178.43
170,10,10,13,Office,176.29
94,1,19,14,Hospital,1810.46
178,11,4,11,Office,82.98
126,11,10,18,Office,127.03
147,8,5,21,Hospital,109.84
110,3,18,9,Bank,673.29
127,14,18,5,Hospital,191.62
13,10,3,8,Bank,11.92
266,6,10,1,Hospital,467.92
77,7,10,3,Office,128.96
227,10,6,8,Bank,152.36
45,1,16,14,Office,735.28
208,14,16,12,Bank,241.33
268,6,4,19,Hospital,195.43
182,7,4,7,Hospital,126.4
88,6,7,18,Hospital,135.4
115,4,5,18,Hospital,160.36
255,1,14,15,Hospital,3595.63
11,11,14,10,Office,26.7
88,9,12,9,Office,133.11
212,4,6,7,Bank,338.61
26,7,2,0,Office,27.78
7,7,10,9,Bank,11.31
131,2,18,17,Bank,1184.99
192,1,2,2,Office,407.79
18,8,4,10,Office,24.99
16,8,16,17,Bank,33.96
91,7,11,2,Office,152.27
16,14,9,7,Office,30.21
29,8,13,13,Office,69.09
247,3,16,5,Hospital,1337.46
126,11,10,14,Hospital,151.87
151,2,11,13,Bank,846.27
59,7,10,6,Office,97.58
242,8,16,9,Bank,488.29
177,1,2,14,Office,362.18
225,12,3,9,Hospital,78.6
123,10,15,21,Office,196.08
187,9,9,16,Office,213.72
292,13,7,18,Office,182.49
86,11,13,16,Hospital,126.07
215,4,16,11,Hospital,871.75
154,14,15,14,Hospital,180.29
41,12,2,11,Bank,25.62
63,14,12,8,Office,65.06
135,4,4,4,Hospital,162.85
206,3,19,3,Bank,1317.99
247,6,3,11,Hospital,143.86
39,1,8,15,Office,322.08
97,6,9,8,Bank,154.84
211,2,16,2,Hospital,1709.33
217,9,11,20,Hospital,292.45
163,2,2,2,Bank,166.8
28,7,7,17,Bank,36.16
297,12,14,16,Bank,356.81
8,1,15,9,Bank,134.64
224,12,4,1,Bank,78.31
24,7,12,23,Hospital,51.93
156,5,4,10,Bank,139.52
54,8,11,23,Bank,73.62
181,4,16,2,Office,747.99
100,12,12,22,Hospital,118.91
109,10,16,22,Office,178.57
254,7,14,1,Hospital,524.64
121,6,6,8,Hospital,143.65
232,5,5,18,Hospital,248.27
70,4,14,1,Bank,255.14
266,7,10,18,Office,400.18
299,12,18,1,Hospital,467.08
247,5,3,14,Hospital,161.64
190,5,6,23,Hospital,245.91
250,1,17,20,Office,4274.9
129,2,8,2,Hospital,547.8
272,5,2,4,Office,109.66
135,13,13,10,Office,157.64
241,3,12,23,Bank,975.75
22,14,13,6,Hospital,46.9
44,13,13,5,Hospital,60.15
25,2,13,13,Office,165.12
229,14,15,0,Office,264.45
286,14,3,16,Bank,64.7
12,4,3,16,Hospital,19.28
104,4,5,13,Office,135.77
244,4,17,9,Hospital,1061.21
91,4,11,7,Hospital,271.23
18,3,14,7,Hospital,109.48
6,13,3,13,Office,21.07
297,12,4,6,Hospital,116.05
45,7,7,5,Office,59.51
115,9,9,3,Bank,121.42
18,12,15,0,Bank,31.03
235,5,11,14,Office,525.23
88,4,4,14,Hospital,110.73
134,11,7,0,Bank,102.8
235,2,16,19,Bank,1884.28
149,2,19,2,Office,1439.47
32,5,15,22,Office,111.79
70,7,11,4,Office,126.69
167,10,16,4,Office,270.3
233,10,5,3,Office,118.85
265,9,3,16,Office,104.34
168,13,4,20,Office,72.22
291,7,8,19,Hospital,347.87
14,5,17,13,Hospital,79.29
199,10,11,7,Hospital,244.04
122,10,18,1,Hospital,233.24
274,10,6,7,Bank,174.62
84,6,14,0,Hospital,233.34
97,11,14,3,Bank,124.76
270,12,12,18,Bank,283.7
261,3,12,4,Bank,1051.74
137,5,17,4,Office,485.75
280,8,16,20,Bank,578.87
268,1,18,19,Bank,4831.3
175,12,19,23,Bank,294.92
5,1,5,18,Office,55.55
68,7,6,11,Hospital,78.75
288,14,8,19,Hospital,190.07
125,5,3,0,Bank,80.87
111,14,2,6,Bank,25.99
179,5,13,16,Hospital,484.16
208,1,11,1,Hospital,2313.58
169,9,9,10,Hospital,197.43
124,1,2,6,Hospital,267.23
48,5,13,16,Bank,145.54
160,10,3,2,Bank,68.71
211,9,11,21,Bank,273.82
112,14,18,5,Hospital,160.39
255,4,4,21,Office,265.72
134,13,8,10,Hospital,96.77
297,8,13,17,Hospital,509.27
24,6,9,17,Office,42.52
286,11,13,21,Office,357.74
289,3,4,9,Hospital,397.77
5,4,18,4,Office,43.26
123,2,10,22,Office,630.12
39,1,11,22,Office,453.34
202,13,7,20,Hospital,136.76
249,14,2,23,Hospital,65.62
63,8,13,21,Office,127.6
165,1,6,14,Bank,1001.01
183,14,14,20,Office,189.89
210,13,16,19,Office,266.09
16,11,12,22,Hospital,22.85
280,1,9,3,Bank,2522.41
185,4,6,20,Office,292.98
246,10,3,20,Bank,79.88
220,12,13,0,Hospital,257.07
255,10,3,14,Bank,89.95
130,6,17,16,Hospital,386.2
221,9,4,18,Office,105.37
289,1,11,13,Hospital,3198.63
189,7,9,18,Bank,246.71
43,10,8,17,Bank,42.5
227,11,2,1,Bank,60.67
188,5,13,5,Office,501.91
182,12,6,12,Bank,113.4
298,8,17,16,Bank,653.27
155,14,5,5,Bank,61.3
130,7,18,20,Hospital,346.51
238,4,3,21,Bank,188.13
12,4,13,4,Hospital,67.07
133,6,2,6,Bank,50.9
268,6,13,0,Hospital,607.02
161,9,13,12,Hospital,261.01
9,12,13,18,Office,19.33
90,5,18,21,Office,334.27
179,8,12,0,Hospital,293.49
294,5,14,12,Hospital,844.26
197,2,9,10,Office,896.7
123,6,11,6,Hospital,243.03
222,9,9,19,Office,236.51
118,13,9,2,Office,85.74
149,3,10,0,Bank,512.03
30,1,8,7,Bank,246.65
140,1,15,16,Office,2095.51
236,13,3,12,Office,69.29
80,3,12,13,Hospital,334.81
293,10,9,4,Office,290.52
5,5,14,23,Office,24.9
151,3,16,21,Bank,807.65
291,9,4,22,Office,147.89
146,8,15,23,Hospital,289.13
57,3,16,5,Office,313.54
73,9,3,21,Bank,37.9
94,13,13,5,Bank,96.72
224,6,5,20,Bank,186.47
196,13,4,7,Bank,82.39
67,7,6,12,Office,76.49
77,4,4,17,Hospital,95.15
165,4,16,22,Hospital,679.98
173,12,3,3,Hospital,66.79
93,13,13,16,Office,114.81
180,2,6,4,Office,549.71
273,5,18,2,Office,1000.36
77,8,15,3,Hospital,160.83
249,7,11,22,Office,404.96
81,7,4,4,Office,62.41
163,6,5,13,Bank,145.79
102,3,7,14,Bank,253.15
106,5,17,19,Hospital,383.81
136,13,8,16,Bank,83.14
106,1,16,5,Bank,1696.5
23,7,12,9,Bank,46.84
86,9,2,21,Office,46.91
283,1,6,22,Bank,1702.04
133,13,14,15,Bank,151.77
93,2,15,16,Bank,703.75
217,3,10,13,Office,734.46
147,3,18,19,Hospital,903.25
69,8,16,11,Office,162.81
80,7,8,8,Office,109.62
203,6,13,14,Bank,444.21
147,10,7,11,Hospital,142.17
97,10,17,13,Bank,175.45
228,11,6,21,Bank,130.32
295,4,10,17,Hospital,767.38
106,9,15,19,Hospital,193.38
271,1,9,5,Office,2465.64
114,11,15,3,Hospital,169.36
269,2,13,22,Office,1773.51
7,14,11,11,Office,21.91
89,4,14,12,Bank,330.54
286,3,16,18,Bank,1548.65
121,1,9,21,Bank,1091.07
225,5,11,12,Hospital,523.93
158,7,4,11,Hospital,100.42
157,2,4,19,Office,321.67
16,5,6,2,Office,28.58
137,6,17,2,Office,406.69
297,11,18,13,Hospital,506.23
232,7,7,17,Office,245.83
275,1,17,18,Office,4691.02
47,7,3,9,Hospital,44.28
25,4,16,16,Bank,114.68
111,8,19,14,Hospital,291.28
121,13,2,18,Office,46.36
128,4,13,8,Bank,425.85
285,6,9,3,Hospital,443.85
